Feature,Mean,Std Dev,Min Val,Max Val,25 Percentile,50 Percentile,75 Percentile
1074,-0.1799774007352941,0.4440270750283758,-1.518068,0.537764,-0.475983,-0.08687149999999999,0.16489975
1075,-0.1200403125,0.28660866136262375,-0.811052,1.434781,-0.279014,-0.1772165,-0.0481785
1076,-0.004410555147058828,0.24063838070740554,-0.607957,0.942831,-0.15502025,-0.0488385,0.079377
1077,-0.032276253676470586,0.2619315716933913,-2.0,1.687704,-0.07794475,-0.011903500000000001,0.046541500000000006
1078,-0.07456948161764707,0.22692030941514651,-1.349883,1.420716,-0.177023,-0.107765,-0.022214
1079,0.03327883455882353,0.2637975931104211,-2.0,2.0,-0.0235605,0.0301185,0.10007175
1080,-0.12698298897058824,0.32438865414888607,-0.781937,0.8397,-0.3805095,-0.21244249999999998,0.0565365
1081,-0.04918748161764706,0.25767767489669874,-0.803159,0.59148,-0.21296425,-0.049878500000000006,0.13430525
1082,-0.11556881985294118,0.26904320982656305,-0.901752,1.060735,-0.274023,-0.15033950000000001,0.00092
1083,-0.15527013235294115,0.3647501892185194,-1.11636,0.747609,-0.43231200000000003,-0.127894,0.10794875
1084,-0.055502816176470585,0.2639071913997336,-0.535395,0.9695,-0.23085425,-0.107772,0.0946015
1085,-0.053995919117647055,0.28022127821578885,-0.790156,0.724927,-0.22214325,-0.047452,0.13863825000000002
1086,-0.2704020625,0.4103338347611269,-1.052665,0.889981,-0.5788955,-0.346802,-0.017590500000000002
1087,-0.08636495955882352,0.2901137919281603,-0.722891,0.719292,-0.2964495,-0.115978,0.12050174999999999
1088,-0.1273305845588235,0.2833703436609713,-0.771105,0.970153,-0.28254450000000003,-0.183172,-0.024700250000000003
1089,-0.18684636764705884,0.38245968716060763,-1.093379,1.06358,-0.43520000000000003,-0.221803,0.012354500000000001
1090,-0.06346722794117647,0.2616948619897847,-0.796784,0.656627,-0.23329099999999997,-0.046024499999999996,0.13219125
1091,-0.10808704044117648,0.2785321091294856,-2.0,1.439856,-0.2506175,-0.13803900000000002,-0.00027225000000000003
1092,-0.13102429044117647,0.3010643570258524,-1.483706,1.305187,-0.31023375,-0.182485,-0.035873499999999996
1093,-0.10058117647058824,0.3203184844188828,-0.961594,0.829902,-0.3234655,-0.099318,0.12748475
1094,-0.1437240367647059,0.289643341594779,-0.851106,1.444031,-0.25156649999999997,-0.155324,-0.04757525
1095,-0.14619541911764705,0.31101482410096193,-0.966859,0.937078,-0.358882,-0.2141385,0.031157499999999998
1096,-0.08441710294117648,0.24946114485543636,-0.895103,0.488182,-0.24597375,-0.0402035,0.09551725
1097,-0.3687915294117647,0.4144054820187917,-1.230645,1.180427,-0.6153967499999999,-0.3938555,-0.16128025
1098,0.009518301470588237,0.22541174186614524,-1.933315,0.807101,-0.026412,0.0198675,0.08747100000000001
1099,-0.14151922426470587,0.3870959782112075,-1.192722,0.842209,-0.43293325,-0.1413055,0.1453555
1100,-0.05092980514705882,0.2897770504944952,-0.718589,0.865211,-0.264984,-0.056018,0.11844625
1101,-0.07731751470588234,0.2540594513571226,-0.7185,0.744255,-0.25121975,-0.06989300000000001,0.097461
1102,-0.19568065073529411,0.4816949930377434,-1.495601,0.864119,-0.52593875,-0.11557200000000001,0.1557325
1103,-0.01690518382352941,0.25204086109780316,-0.569803,1.1617,-0.18449125,-0.0582985,0.10621675
1104,-0.46122093749999993,0.557109498907458,-1.365245,0.974187,-0.86042575,-0.666405,-0.08529825
1105,-0.1175085625,0.27250786671836313,-2.0,1.183036,-0.26414574999999996,-0.1377795,0.006992
1106,-0.05814990441176471,0.2809940526730079,-0.706458,2.0,-0.25363925000000004,-0.054096000000000005,0.104858
1107,-0.028862727941176468,0.26932408265587016,-2.0,1.616984,-0.058339249999999995,-0.0004005,0.058607
1108,-0.05328284191176471,0.2685081958096698,-1.122702,0.939823,-0.2192075,-0.0854975,0.07364525000000001
1109,-0.11871952573529411,0.2710720198790095,-0.758656,0.866291,-0.28450349999999996,-0.15286149999999998,0.00900575
1110,-0.09743575,0.3142316751988503,-1.008986,0.525165,-0.30373150000000004,-0.038012,0.13947674999999998
1111,-0.13531386764705886,0.3041695286226283,-0.94175,0.961715,-0.34908475000000005,-0.14722449999999998,0.07247600000000001
1112,-0.38930089338235296,0.5721058579868028,-1.475901,1.628826,-0.8486472500000001,-0.390286,0.013653
1113,-0.0906204669117647,0.33953122260138324,-1.054646,0.67661,-0.329194,-0.0329305,0.16205575
1114,-0.0584251838235294,0.25854496132221555,-0.942131,0.730998,-0.24099674999999998,-0.0631455,0.1225985
1115,-0.11121863602941176,0.26677270601442893,-0.699117,0.983282,-0.278921,-0.1658365,0.0056535
1116,-0.09918788235294118,0.2548989732405981,-1.204517,0.959387,-0.2581015,-0.1401715,0.010364
